Home ,Home Spread,Road
49ers,-9.5,Giants
Lions,-3.5,Falcons
Jets,2.5,Patriots
Packers,-2,Saints
Jaguars,-9.5,Texans
Vikings,0,Chargers
Cardinals,12,Cowboys
Raiders,-2.5,Steelers
Buccaneers,5,Eagles
Bengals,-2.5,Rams
