Home ,Home Spread,Road
Packers,1.5,Lions
Jaguars,-3,Falcons
Bills,-2.5,Dolphins
Browns,-2.5,Ravens
Texans,3,Steelers
Saints,-3,Buccaneers
Bears,3.5,Broncos
Cowboys,7,Patriots
Jets,9.5,Chiefs
Giants,1.5,Seahawks
